weight,roi,ROIweight,from,to,name.from,name.to,type.from,type.to,databaseType.to,databaseType.from,totalWeight,weightRelativeTotal,totalPreWeight,outputContributionTotal,weightROIRelativeTotal,totalPreROIweight,totalROIweight,weightRelative,outputContribution,supertype1.to,supertype1.from,supertype2.to,supertype2.from,supertype3.to,supertype3.from
8,EB,8,697001770,1167645442,EPG(PB08)_L2,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1675,0.004776119402985075,2979,0.002685464921114468,0.004776119402985075,1221,1484,0.005390835579514825,0.006552006552006552,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,665314820,1167645442,EPG(PB08)_L4,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1675,0.004776119402985075,3156,0.0025348542458808617,0.004776119402985075,1320,1484,0.005390835579514825,0.006060606060606061,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,416642425,1167645442,EPG(PB08)_R4,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1675,0.004776119402985075,2870,0.0027874564459930314,0.004776119402985075,1459,1484,0.005390835579514825,0.0054832076764907475,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,1447576662,1198326456,EPG(PB08)_L1,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1691,0.004730928444707274,3842,0.002082248828735034,0.004730928444707274,1759,1527,0.005239030779305829,0.0045480386583285955,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,1002852791,1198326456,EPG(PB08)_R7,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1691,0.004730928444707274,2984,0.002680965147453083,0.004730928444707274,1527,1527,0.005239030779305829,0.005239030779305829,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,912545106,1198326456,EPG(PB08)_L2,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1691,0.004730928444707274,3302,0.0024227740763173833,0.004730928444707274,1455,1527,0.005239030779305829,0.005498281786941581,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,1034219901,5813050767,EPG(PB08)_R7,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1786,0.004479283314669653,2696,0.002967359050445104,0.004479283314669653,1391,1630,0.0049079754601227,0.005751258087706686,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,1004017998,5813050767,EPG(PB08)_L7,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1786,0.004479283314669653,2698,0.0029651593773165306,0.004479283314669653,1052,1630,0.0049079754601227,0.0076045627376425855,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,1002507159,5813050767,EPG(PB08)_R7,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1786,0.004479283314669653,3052,0.002621231979030144,0.004479283314669653,1591,1630,0.0049079754601227,0.00502828409805154,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,1447576662,5813053866,EPG(PB08)_L1,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1856,0.004310344827586207,3842,0.002082248828735034,0.004310344827586207,1759,1685,0.004747774480712166,0.0045480386583285955,ER4,EPG,ER,EPG,ER,EB Columnar
8,EB,8,1002507159,1292847181,EPG(PB08)_R7,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1702,0.004700352526439483,3052,0.002621231979030144,0.004700352526439483,1591,1558,0.005134788189987163,0.00502828409805154,ER4,EPG,ER,EPG,ER,EB Columnar
7,EB,7,572870540,1322129730,EPG(PB08)_L1,ER1_b(ring)_L,EPG_L,ER1_b_L,ER1_b,EPG,509,0.0137524557956778,3665,0.0019099590723055935,0.0137524557956778,1533,504,0.013888888888888888,0.0045662100456621,ER1,EPG,ER,EPG,ER,EB Columnar
7,EB,7,1035045015,1291094620,EPG(PB08)_L7,ER1_b(ring)_R,EPG_L,ER1_b_R,ER1_b,EPG,771,0.009079118028534372,3480,0.002011494252873563,0.009079118028534372,1451,599,0.011686143572621035,0.004824259131633356,ER1,EPG,ER,EPG,ER,EB Columnar
7,EB,7,941132434,1198667367,EPG(PB08)_R6,ER2_c(ring)_L,EPG_R,ER2_c_L,ER2_c,EPG,1497,0.004676018704074816,2383,0.0029374737725556023,0.004676018704074816,1193,1392,0.005028735632183908,0.00586756077116513,ER2,EPG,ER,EPG,ER,EB Columnar
7,EB,7,695629525,5813047647,EPG(PB08)_R2,ER2_c(ring)_R,EPG_R,ER2_c_R,ER2_c,EPG,1683,0.0041592394533571005,2887,0.0024246622791825423,0.0041592394533571005,1425,1559,0.004490057729313663,0.004912280701754386,ER2,EPG,ER,EPG,ER,EB Columnar
7,EB,7,758419409,1167304403,EPG(PB08)_L3,ER4d(ring)_R,EPG_L,ER4d_R,ER4d,EPG,2039,0.0034330554193231977,3370,0.0020771513353115725,0.0034330554193231977,1603,1912,0.0036610878661087866,0.004366812227074236,ER4,EPG,ER,EPG,ER,EB Columnar
